anno,attoid,cat,mese,metratura,posizione,prezzo,tipo,zonaOMI,garage,cantina
2021,aadd9163-59d4-4b5c-8796-1f4ccda3add8,A03,12,71 mq,"9.2114461, 45.4907948",313000,Residenziale singolo,D36,FALSE,FALSE
2021,493b7e4c-4c76-4abe-8b1c-fc76105307d6,A02,2,2.5 vani,"9.2136914, 45.4897245",163000,Residenziale singolo,D36,FALSE,['6 mq']
2021,43adc0b2-e62b-41c9-a7d7-4747702d27da,A03,3,4 vani,"9.2178137, 45.4866169",350000,Residenziale singolo,D36,FALSE,FALSE
2021,9c2087c4-842f-44cc-a2be-d2a90be55218,A03,3,3.5 vani,"9.2181795, 45.4868556",155000,Residenziale singolo,D36,FALSE,FALSE
2021,48a5f221-558c-420f-b4fd-efb209ef5bac,A02,3,2.5 vani,"9.2143703, 45.4882988",170000,Residenziale singolo,D36,FALSE,['6 mq']
2021,88d66638-19f1-424c-a0cb-d71913c9698b,A03,3,4 vani,"9.2144512, 45.4887005",380000,Residenziale singolo,D36,FALSE,['4 mq']
2021,e0bb65b5-948b-416b-babf-fe5169865ada,A04,3,5 vani,"9.215275, 45.4890089",365000,Residenziale singolo,D36,FALSE,FALSE
2021,5d77b312-8f41-4c5e-9121-670b6cedd0d4,A02,3,131 mq,"9.21475213800606687750802645333816531462, 45.4887252698264384514026548981317476532",540000,Residenziale singolo,D36,FALSE,['6 mq']
2021,3fb8c1ea-19b4-4e22-9c52-dfb0870288f5,A03,3,139 mq,"9.21581499423316, 45.4865384448968",104753,Residenziale singolo,D36,FALSE,['8 mq']
2021,f0e089dd-5776-4d21-9656-85728928e2bc,A03,3,100 mq,"9.2144512, 45.4887005",385000,Residenziale singolo,D36,FALSE,FALSE
2021,014822b5-14e3-4e2f-812a-f29b92d02727,A02,4,128 mq,"9.2144512, 45.4887005",262464,Residenziale singolo,D36,FALSE,FALSE
2021,6d551946-dc66-4cd1-a090-cf6022fcc3f4,A03,4,86 mq,"9.21361020563026812665122437585878646091, 45.4893311457876365092068099154192055148",230000,Residenziale singolo,D36,FALSE,FALSE
2021,5b191d04-a81d-4422-8492-9618afc1c6cc,A02,5,74 mq,"9.21483036361141, 45.4886151602155",315000,Residenziale singolo,D36,FALSE,['11 mq']
2021,ecfade1d-8c00-4f0b-b23f-ddb819f297f2,A03,5,63 mq,"9.21483036361141, 45.4886151602155",263000,Residenziale singolo,D36,FALSE,FALSE
2021,1991367b-c55f-48df-aa56-76ea13c0242c,A02,5,48 mq,"9.21396081257155252879433302417686612764, 45.4889537472575892889308020995610841295",200000,Residenziale singolo,D36,['17 mq'],FALSE
2021,d5990972-4be5-4ad1-8038-f6a20eef45bd,A02,6,74 mq,"9.2161042, 45.486659",300000,Residenziale singolo,D36,FALSE,['7 mq']
2021,3d2c4e1c-df85-4ed3-84fd-c93bc3583ea6,A03,6,70 mq,"9.2184728, 45.4867814",420000,Residenziale singolo,D36,FALSE,['5 mq']
2021,6bc0bce2-2802-4b0e-883c-adef6c56532b,A03,6,142 mq,"9.215972, 45.4869635",500000,Residenziale singolo,D36,FALSE,FALSE
2021,769a523b-cfca-4897-bcd5-30263337e6f2,A03,6,74 mq,"9.2144512, 45.4887005",250000,Residenziale singolo,D36,FALSE,FALSE
